Age,ConvertedSalary,
2,,
3,70841,
,,
3,,
1,21426,
1,41671,
1,120000,
2,,
3,250000,
,,
,,
,,
,,
,,
1,0,
,,
,,
3,47904,
,,
,,
3,95968,
4,,
2,420,
4,75000,
2,10958,
3,51408,
2,72611,
2,900000,
,,
3,,
2,30000,
2,,
1,44000,
2,60000,
3,,
2,80000,
2,,
2,,
,,
4,,
,,
3,123984,
3,21228,
2,74000,
1,,
2,6576,
2,115000,
3,70000,
1,,
2,90000,
,,
3,115000,
,,
3,73428,
,,
1,,
,128507,
1,13212,
2,,
,,
1,,
2,,
2,120000,
1,48955,
1,,
1,19500,
,,
,,
,,
1,,
3,85708,
,,
2,,
2,36000,
,,
,,
2,64116,
,,
2,,
2,45144,
2,32412,
3,52627,
2,82648,
2,,
2,,
,78000,
1,120000,
,42456,
,,
,,
2,30000,
2,26436,
,,
2,34440,
,,
1,4128,
2,,
3,,
,,
1,,
2,141625,
2,,
,,
2,71095,
,,
2,35244,
2,4696,
,,
,,
,,
2,,
2,120000,
1,,
3,69452,
2,63896,
,,
2,63628,
2,110000,
2,,
,,
2,28680,
,,
,,
2,9768,
2,21418,
2,916764,
2,30597,
2,59980,
2,228888,
3,,
,,
2,42348,
2,48955,
2,37572,
1,34726,
,,
2,55392,
,,
,,
2,27708,
2,70000,
2,59172,
2,59980,
2,91969,
2,9984,
2,55075,
2,,
4,87971,
,,
2,7512,
2,105000,
,,
,,
2,105000,
2,,
2,,
,,
,,
2,36000,
4,120000,
1,61680,
2,42836,
2,29532,
,,
2,64866,
,,
1,77000,
,36000,
,,
2,97000,
4,,
2,45838,
,,
3,59880,
,,
2,48955,
,,
1,6732,
2,125000,
2,72469,
,,
2,,
2,11808,
,,
2,39648,
,,
3,,
2,62507,
2,29373,
,,
3,74482,
1,,
,,
2,12960,
2,,
3,73433,
,,
3,1080000,
2,90288,
2,122388,
3,37084,
2,11748,
5,100000,
,,
3,60000,
,,
,,
,10440,
,,
,,
,,
2,46992,
2,61580,
2,26612,
,,
2,18780,
2,,
,,
1,23440,
3,42836,
,,
2,3569,
,,
,,
3,,
3,1140000,
2,1879,
,,
,,
1,79552,
,,
2,46963,
,,
2,8140,
1,,
2,81000,
3,440592,
,,
2,20244,
,,
3,,
2,33528,
2,65000,
2,21708,
2,58746,
,,
2,52783,
2,32316,
,,
1,,
2,,
1,8496,
2,45895,
,,
1,60000,
1,9552,
2,4512,
2,38510,
,,
2,105000,
2,47227,
1,20808,
,,
,,
2,100000,
,29373,
2,,
2,33972,
2,,
1,2000000,
3,74856,
3,44060,
2,140000,
,,
2,7140,
1,,
1,,
2,59500,
2,,
,,
3,,
2,,
2,56172,
1,2820,
2,51394,
,,
3,83342,
,,
,,
1,,
2,,
,,
1,62507,
2,55075,
2,40392,
,,
,,
2,42456,
,,
