CheckInCode,ConvertedSalary,
5,,
3,70841,
,,
5,,
2,21426,
3,41671,
5,120000,
5,,
5,250000,
,,
,,
,,
,,
5,,
0,0,
,,
,,
5,47904,
0,,
,,
5,95968,
5,,
1,420,
5,75000,
5,10958,
2,51408,
5,72611,
3,900000,
,,
5,,
4,30000,
5,,
1,44000,
3,60000,
5,,
5,80000,
5,,
3,,
,,
3,,
5,,
5,123984,
,21228,
5,74000,
4,,
5,6576,
5,115000,
2,70000,
5,,
3,90000,
,,
5,115000,
,,
5,73428,
,,
3,,
,128507,
5,13212,
5,,
,,
2,,
5,,
5,120000,
5,48955,
3,,
5,19500,
,,
,,
,,
2,,
4,85708,
,,
3,,
5,36000,
5,,
5,,
3,64116,
,,
5,,
5,45144,
5,32412,
2,52627,
5,82648,
3,,
5,,
5,78000,
3,120000,
,42456,
,,
,,
4,30000,
2,26436,
,,
5,34440,
,,
3,4128,
5,,
3,,
,,
4,,
5,141625,
5,,
,,
3,71095,
5,,
5,35244,
2,4696,
,,
5,,
,,
4,,
5,120000,
3,,
5,69452,
5,63896,
5,,
5,63628,
5,110000,
3,,
5,,
5,28680,
,,
,,
4,9768,
5,21418,
5,916764,
4,30597,
5,59980,
5,228888,
5,,
5,,
5,42348,
5,48955,
2,37572,
5,34726,
,,
5,55392,
,,
,,
4,27708,
,70000,
3,59172,
5,59980,
5,91969,
5,9984,
5,55075,
5,,
1,87971,
,,
5,7512,
4,105000,
5,,
5,,
5,105000,
1,,
3,,
,,
5,,
3,36000,
5,120000,
4,61680,
5,42836,
5,29532,
,,
5,64866,
,,
5,77000,
5,36000,
5,,
5,97000,
5,,
3,45838,
,,
5,59880,
,,
4,48955,
,,
5,6732,
5,125000,
5,72469,
,,
4,,
2,11808,
3,,
5,39648,
5,,
5,,
3,62507,
5,29373,
,,
5,74482,
5,,
,,
5,12960,
5,,
5,73433,
,,
5,1080000,
5,90288,
5,122388,
3,37084,
3,11748,
,100000,
5,,
2,60000,
5,,
,,
5,10440,
5,,
,,
5,,
5,46992,
5,61580,
5,26612,
5,,
5,18780,
3,,
,,
5,23440,
5,42836,
,,
4,3569,
,,
,,
4,,
5,1140000,
5,1879,
,,
5,,
5,79552,
5,,
5,46963,
,,
5,8140,
5,,
5,81000,
3,440592,
,,
5,20244,
,,
5,,
2,33528,
3,65000,
5,21708,
5,58746,
,,
5,52783,
5,32316,
,,
2,,
5,,
5,8496,
5,45895,
,,
5,60000,
5,9552,
4,4512,
5,38510,
,,
4,105000,
5,47227,
4,20808,
,,
,,
5,100000,
5,29373,
5,,
5,33972,
3,,
3,2000000,
5,74856,
5,44060,
5,140000,
,,
5,7140,
4,,
2,,
5,59500,
3,,
,,
5,,
5,,
5,56172,
4,2820,
5,51394,
,,
5,83342,
,,
,,
5,,
5,,
5,,
5,62507,
5,55075,
5,40392,
,,
2,,
5,42456,
,,
4,,
5,72500,
,,
5,65285,
3,,
5,,
5,75000,
4,58752,
3,70000,
3,185000,
2,37940,
5,,
5,21916,
5,125000,
3,25000,
