Exercise,ConvertedSalary,
2,,
3,70841,
,,
0,,
2,21426,
1,41671,
0,120000,
1,,
0,250000,
,,
,,
,,
,,
0,,
3,0,
2,,
2,,
2,47904,
3,,
1,,
2,95968,
3,,
3,420,
0,75000,
3,10958,
2,51408,
1,72611,
0,900000,
,,
0,,
0,30000,
1,,
3,44000,
0,60000,
2,,
3,80000,
3,,
0,,
,,
2,,
,,
0,123984,
0,21228,
0,74000,
2,,
3,6576,
2,115000,
2,70000,
0,,
3,90000,
,,
1,115000,
,,
0,73428,
1,,
1,,
,128507,
0,13212,
0,,
,,
3,,
0,,
3,120000,
1,48955,
0,,
1,19500,
,,
,,
,,
0,,
0,85708,
,,
0,,
1,36000,
,,
3,,
0,64116,
,,
3,,
1,45144,
1,32412,
3,52627,
1,82648,
1,,
1,,
,78000,
2,120000,
0,42456,
,,
,,
2,30000,
2,26436,
,,
0,34440,
,,
3,4128,
0,,
0,,
,,
1,,
3,141625,
1,,
,,
2,71095,
,,
0,35244,
1,4696,
,,
,,
,,
0,,
1,120000,
1,,
2,69452,
0,63896,
,,
2,63628,
3,110000,
0,,
,,
0,28680,
,,
,,
0,9768,
2,21418,
1,916764,
0,30597,
1,59980,
0,228888,
0,,
,,
2,42348,
2,48955,
3,37572,
0,34726,
,,
2,55392,
,,
,,
0,27708,
0,70000,
3,59172,
3,59980,
3,91969,
1,9984,
1,55075,
2,,
3,87971,
,,
3,7512,
3,105000,
1,,
,,
1,105000,
0,,
1,,
,,
2,,
0,36000,
0,120000,
0,61680,
0,42836,
0,29532,
,,
0,64866,
,,
0,77000,
0,36000,
,,
1,97000,
0,,
1,45838,
,,
0,59880,
,,
2,48955,
,,
0,6732,
0,125000,
0,72469,
,,
2,,
0,11808,
,,
1,39648,
0,,
1,,
0,62507,
0,29373,
,,
2,74482,
1,,
,,
3,12960,
1,,
2,73433,
,,
2,1080000,
2,90288,
0,122388,
0,37084,
0,11748,
0,100000,
,,
2,60000,
2,,
,,
,10440,
,,
,,
1,,
3,46992,
2,61580,
1,26612,
0,,
3,18780,
3,,
,,
1,23440,
2,42836,
,,
0,3569,
,,
,,
0,,
1,1140000,
1,1879,
,,
,,
0,79552,
,,
2,46963,
,,
2,8140,
3,,
0,81000,
3,440592,
,,
2,20244,
,,
3,,
1,33528,
0,65000,
1,21708,
1,58746,
,,
2,52783,
1,32316,
,,
1,,
0,,
,8496,
0,45895,
0,,
2,60000,
2,9552,
1,4512,
2,38510,
,,
1,105000,
0,47227,
0,20808,
1,,
,,
2,100000,
,29373,
2,,
3,33972,
1,,
2,2000000,
0,74856,
0,44060,
0,140000,
,,
0,7140,
0,,
0,,
0,59500,
2,,
,,
0,,
3,,
1,56172,
3,2820,
2,51394,
,,
2,83342,
,,
,,
2,,
0,,
,,
0,62507,
0,55075,
