FormalEducation,ConvertedSalary,
5,,
5,70841,
4,,
5,,
3,21426,
5,41671,
3,120000,
5,,
3,250000,
5,,
7,,
5,,
3,,
5,,
2,0,
7,,
5,,
7,47904,
5,,
5,,
5,95968,
5,,
5,420,
3,75000,
7,10958,
7,51408,
7,72611,
5,900000,
5,,
5,,
3,30000,
7,,
5,44000,
5,60000,
7,,
5,80000,
7,,
5,,
3,,
7,,
2,,
3,123984,
3,21228,
5,74000,
5,,
7,6576,
7,115000,
7,70000,
5,,
4,90000,
7,,
5,115000,
7,,
3,73428,
5,,
2,,
3,128507,
5,13212,
7,,
7,,
5,,
5,,
7,120000,
5,48955,
5,,
5,19500,
7,,
4,,
7,,
2,,
7,85708,
3,,
5,,
5,36000,
5,,
5,,
7,64116,
7,,
5,,
5,45144,
5,32412,
7,52627,
7,82648,
,,
3,,
5,78000,
3,120000,
3,42456,
7,,
5,,
7,30000,
7,26436,
3,,
7,34440,
3,,
5,4128,
,,
5,,
5,,
1,,
5,141625,
7,,
5,,
7,71095,
7,,
3,35244,
7,4696,
3,,
5,,
5,,
5,,
5,120000,
5,,
3,69452,
2,63896,
7,,
5,63628,
5,110000,
7,,
7,,
5,28680,
3,,
7,,
7,9768,
7,21418,
3,916764,
5,30597,
5,59980,
5,228888,
2,,
5,,
7,42348,
7,48955,
5,37572,
3,34726,
,,
7,55392,
5,,
5,,
5,27708,
5,70000,
7,59172,
7,59980,
5,91969,
7,9984,
5,55075,
7,,
3,87971,
5,,
7,7512,
5,105000,
7,,
5,,
4,105000,
3,,
,,
5,,
5,,
5,36000,
5,120000,
2,61680,
6,42836,
3,29532,
7,,
7,64866,
7,,
4,77000,
7,36000,
7,,
3,97000,
3,,
5,45838,
7,,
2,59880,
7,,
2,48955,
7,,
2,6732,
7,125000,
5,72469,
5,,
7,,
5,11808,
3,,
2,39648,
5,,
7,,
5,62507,
3,29373,
5,,
5,74482,
2,,
5,,
3,12960,
7,,
5,73433,
5,,
5,1080000,
5,90288,
5,122388,
3,37084,
2,11748,
4,100000,
2,,
7,60000,
5,,
5,,
7,10440,
5,,
5,,
5,,
7,46992,
5,61580,
5,26612,
7,,
5,18780,
5,,
5,,
3,23440,
2,42836,
0,,
7,3569,
7,,
2,,
7,,
5,1140000,
5,1879,
5,,
5,,
3,79552,
5,,
5,46963,
7,,
7,8140,
5,,
5,81000,
8,440592,
5,,
4,20244,
5,,
3,,
7,33528,
5,65000,
5,21708,
2,58746,
5,,
5,52783,
7,32316,
5,,
2,,
5,,
3,8496,
7,45895,
5,,
5,60000,
3,9552,
5,4512,
5,38510,
7,,
5,105000,
5,47227,
4,20808,
7,,
5,,
7,100000,
,29373,
3,,
7,33972,
7,,
3,2000000,
5,74856,
7,44060,
7,140000,
2,,
5,7140,
5,,
5,,
5,59500,
7,,
7,,
3,,
7,,
4,56172,
5,2820,
7,51394,
3,,
7,83342,
5,,
5,,
3,,
7,,
7,,
5,62507,
7,55075,
5,40392,
5,,
5,,
7,42456,
7,,
7,,
5,72500,
3,,
5,65285,
6,,
3,,
5,75000,
3,58752,
7,70000,
5,185000,
6,37940,
3,,
7,21916,
7,125000,
5,25000,
1,8448,
5,,
5,32000,
5,3757,
6,22884,
7,75504,
5,52404,
7,,
5,187152,
7,52872,
5,126403,
5,,
5,,
5,,
7,235000,
2,,
7,,
5,,
3,,
5,,
5,55562,
5,125000,
,36716,
5,13284,
5,87971,
7,10572,
3,48955,
3,155000,
7,,
7,,
5,,
5,,
3,52339,
8,113000,
5,127000,
3,56544,
5,47000,
3,110000,
5,,
5,11741,
4,10000,
5,64000,
1,9840,
6,,
5,90000,
4,43482,
5,63529,
5,,
5,140000,
7,96000,
5,14340,
5,48313,
5,42456,
5,,
5,,
7,,
7,39776,
5,94600,
7,12480,
5,,
5,,
3,,
3,,
5,87768,
7,,
7,62507,
5,,
2,22032,
5,30597,
5,,
8,59729,
6,,
5,22560,
5,105000,
5,,
5,,
8,80000,
5,,
5,,
8,36720,
6,,
3,31664,
5,1000000,
7,19092,
8,54507,
5,34726,
5,,
5,106000,
5,63642,
5,86120,
5,4745,
2,,
5,2000000,
5,17676,
2,,
5,52404,
3,,
5,,
5,,
7,,
5,1884,
7,,
5,587460,
3,93840,
7,47304,
7,85671,
8,,
5,90000,
7,91000,
3,,
3,112000,
5,57170,
5,,
7,120000,
5,130000,
5,58340,
3,78000,
7,,
5,,
5,,
5,,
7,44064,
5,51408,
3,,
3,30840,
7,41612,
2,,
,791124,
4,,
5,55000,
5,,
5,75000,
4,60391,
3,41124,
5,10958,
7,,
5,,
7,,
2,,
5,70000,
5,3900,
6,,
7,,
5,5479,
4,,
5,,
7,,
5,96626,
5,,
3,,
3,12000,
5,58000,
8,280000,
5,106956,
5,,
7,53000,
5,90039,
6,,
7,162100,
5,68000,
5,75000,
,684000,
5,,
5,,
2,,
5,53144,
5,,
2,,
2,,
7,,
5,,
6,22560,
5,36720,
5,80000,
5,0,
5,,
3,51408,
5,,
3,,
5,45897,
5,14089,
2,9000,
5,3600,
7,12524,
5,3914,
3,13212,
5,69452,
5,,
7,25008,
6,,
5,96626,
7,199950,
3,,
3,34269,
7,60216,
5,,
7,,
3,73433,
5,40282,
5,71976,
5,,
5,,
7,,
5,63979,
5,12524,
7,14688,
2,1872,
6,66084,
5,,
5,2000000,
3,,
5,20000,
8,,
3,40392,
5,,
5,,
5,2000000,
3,,
7,1500,
7,36005,
5,104030,
4,80521,
5,80000,
7,136500,
7,171343,
5,,
5,44064,
5,99468,
5,23496,
7,27696,
5,48955,
3,140000,
5,9396,
5,,
5,,
3,,
5,140000,
7,936,
7,110000,
5,7608,
7,,
5,105000,
8,104269,
5,11647,
7,,
1,,
7,,
5,46992,
7,,
2,19092,
5,,
5,55000,
5,6384,
5,,
5,,
5,150150,
7,9396,
5,,
5,63000,
