Gender,ConvertedSalary
M,
M,70841
O,
M,
M,21426
M,41671
M,120000
F,
M,250000
O,
O,
O,
O,
O,
M,0
O,
O,
M,47904
F,
O,
M,95968
M,
M,420
O,75000
O,10958
M,51408
M,72611
M,9e+05
O,
O,
M,30000
M,
F,44000
F,60000
M,
M,80000
M,
M,
O,
M,
O,
M,123984
F,21228
M,74000
M,
M,6576
M,115000
M,70000
M,
O,90000
O,
M,115000
O,
M,73428
O,
M,
O,128507
M,13212
M,
O,
M,
M,
M,120000
M,48955
M,
M,19500
O,
O,
O,
M,
M,85708
O,
M,
M,36000
O,
O,
M,64116
O,
M,
M,45144
M,32412
M,52627
M,82648
M,
M,
O,78000
M,120000
O,42456
O,
O,
M,30000
M,26436
O,
M,34440
O,
M,4128
M,
M,
O,
M,
M,141625
M,
O,
M,71095
O,
M,35244
M,4696
O,
O,
O,
M,
M,120000
M,
M,69452
M,63896
O,
M,63628
M,110000
M,
O,
M,28680
O,
O,
M,9768
M,21418
M,916764
M,30597
M,59980
M,228888
M,
O,
M,42348
M,48955
M,37572
O,34726
O,
M,55392
O,
O,
M,27708
M,70000
M,59172
M,59980
M,91969
M,9984
M,55075
M,
M,87971
O,
M,7512
M,105000
O,
O,
M,105000
M,
M,
O,
M,
M,36000
M,120000
M,61680
M,42836
M,29532
O,
M,64866
O,
M,77000
O,36000
O,
M,97000
M,
M,45838
O,
M,59880
O,
M,48955
O,
M,6732
M,125000
M,72469
O,
M,
M,11808
O,
M,39648
O,
M,
M,62507
M,29373
O,
M,74482
F,
O,
M,12960
M,
M,73433
O,
M,1080000
M,90288
M,122388
M,37084
M,11748
M,1e+05
M,
M,60000
O,
O,
O,10440
O,
O,
O,
M,46992
M,61580
M,26612
O,
M,18780
M,
O,
M,23440
M,42836
O,
F,3569
O,
O,
M,
M,1140000
M,1879
O,
O,
M,79552
O,
F,46963
O,
M,8140
M,
M,81000
M,440592
O,
M,20244
O,
M,
M,33528
F,65000
M,21708
M,58746
O,
M,52783
M,32316
O,
M,
M,
M,8496
M,45895
O,
M,60000
M,9552
F,4512
M,38510
O,
M,105000
M,47227
M,20808
O,
O,
M,1e+05
O,29373
M,
M,33972
M,
F,2e+06
M,74856
M,44060
M,140000
O,
M,7140
M,
M,
M,59500
M,
O,
M,
O,
M,56172
M,2820
M,51394
O,
M,83342
O,
O,
M,
F,
O,
M,62507
M,55075
M,40392
O,
O,
M,42456
O,
F,
M,72500
M,
M,65285
O,
M,
O,75000
M,58752
O,70000
M,185000
M,37940
M,
M,21916
M,125000
M,25000
O,8448
O,
M,32000
M,3757
M,22884
M,75504
M,52404
O,
M,187152
M,52872
M,126403
M,
M,
M,
M,235000
O,
M,
M,
M,
O,
M,55562
M,125000
M,36716
M,13284
M,87971
M,10572
M,48955
M,155000
M,
O,
O,
O,
M,52339
F,113000
F,127000
M,56544
M,47000
M,110000
O,
M,11741
M,10000
F,64000
M,9840
M,
M,90000
M,43482
M,63529
O,
M,140000
M,96000
M,14340
M,48313
M,42456
O,
O,
O,
F,39776
M,94600
M,12480
M,
M,
O,
O,
M,87768
O,
M,62507
O,
M,22032
M,30597
O,
F,59729
M,
M,22560
M,105000
O,
O,
M,80000
O,
O,
M,36720
O,
M,31664
M,1e+06
O,19092
M,54507
M,34726
O,
M,106000
M,63642
M,86120
F,4745
O,
F,2e+06
M,17676
M,
M,52404
M,
O,
O,
O,
M,1884
M,
M,587460
M,93840
M,47304
M,85671
O,
M,90000
M,91000
O,
M,112000
O,57170
O,
M,120000
M,130000
M,58340
M,78000
M,
M,
O,
M,
M,44064
M,51408
M,
M,30840
M,41612
O,
M,791124
M,
O,55000
M,
M,75000
M,60391
M,41124
O,10958
O,
O,
M,
M,
M,70000
M,3900
O,
O,
M,5479
M,
O,
M,
O,96626
O,
O,
M,12000
M,58000
M,280000
O,106956
M,
M,53000
M,90039
O,
M,162100
M,68000
F,75000
O,684000
M,
O,
M,
M,53144
M,
O,
M,
M,
O,
O,22560
O,36720
M,80000
M,0
O,
M,51408
O,
O,
M,45897
M,14089
M,9000
M,3600
M,12524
M,3914
M,13212
M,69452
O,
F,25008
O,
M,96626
M,199950
O,
M,34269
M,60216
M,
O,
M,73433
M,40282
M,71976
M,
O,
M,
M,63979
F,12524
M,14688
M,1872
M,66084
O,
M,2e+06
F,
M,20000
F,
M,40392
O,
M,
M,2e+06
O,
F,1500
O,36005
M,104030
M,80521
M,80000
M,136500
M,171343
O,
F,44064
M,99468
M,23496
M,27696
M,48955
M,140000
O,9396
O,
O,
M,
M,140000
F,936
M,110000
M,7608
O,
M,105000
M,104269
M,11647
O,
O,
M,
M,46992
F,
M,19092
O,
M,55000
O,6384
O,
O,
M,150150
M,9396
O,
M,63000
M,
M,127000
M,32400
M,41612
M,7827
O,
F,84731
M,79973
M,
F,
O,
M,130000
M,49932
M,21000
O,
M,
M,26436
O,
O,
O,
M,
F,
O,
O,
M,32874
O,79552
O,7512
M,1884
O,
M,
M,61194
M,104178
M,
M,10584
M,68537
M,85000
O,
M,49932
M,61118
O,
M,175000
O,
O,
M,58000
O,
M,30000
M,
M,30840
M,
M,125000
O,
O,
O,
M,
M,110149
M,108704
M,44880
M,4476
M,
M,2e+05
O,
M,140000
M,25400
O,
M,142000
M,88000
M,
O,
M,29940
M,
O,
M,17628
O,
O,
F,
M,107964
O,
O,
M,
O,
M,
M,2e+06
M,110000
M,84816
M,
M,
M,616836
M,6312
M,
M,48828
F,9012
M,79552
O,
O,
M,104269
M,6360
O,
M,83000
M,72000
M,12312
O,
M,53000
F,85000
M,30000
F,18780
M,75000
O,
M,52321
M,30732
O,
M,70000
O,
O,
M,514032
M,93853
M,79175
O,
M,72000
M,1e+06
O,
O,
M,47922
O,
O,
O,
O,
O,
F,120000
M,6516
M,107000
M,
M,
M,110000
M,
M,35988
M,85000
M,4728
M,5640
M,97233
M,96000
M,10932
O,
O,
O,
M,60000
M,94000
O,
M,27120
M,6500
M,
M,
M,125014
M,33399
O,
M,76000
O,
O,
M,49404
O,
M,2172
O,85000
M,83342
M,36716
M,44064
O,130000
M,
M,
O,
O,
O,
M,
M,47984
F,22032
M,48955
M,93036
M,1500
O,
M,
M,95000
O,
M,41124
F,80000
O,
M,
M,
O,
O,5448
M,50400
O,
M,
O,
M,1512
M,
M,130000
M,141000
M,24478
M,
M,
M,22030
M,35244
M,55075
M,101539
M,40000
M,102000
M,34726
O,55562
M,99056
O,
M,
O,
M,
F,75000
M,42836
O,
O,
M,70841
M,
O,
M,9396
M,
M,39164
M,31212
F,130000
M,41916
O,
M,
M,87000
O,
O,
F,3e+05
M,2820
M,
M,1e+06
M,
M,
O,
O,
O,
M,
M,14652
O,
O,
M,
M,56352
M,7860
M,150000
M,132000
O,
M,
O,107000
M,40388
O,
O,
O,
M,115000
O,34269
O,
O,
M,110149
M,9540
M,1e+06
M,8640
O,
O,
M,83342
M,6612
M,12000
M,102000
O,
O,
M,122300
M,
O,
O,
M,68500
M,36720
M,75000
M,
M,
O,
M,75008
M,42348
M,58134
F,
M,34440
M,14436
O,21228
M,15984
M,94000
M,
M,120000
M,31760
M,5424
M,170000
M,63979
M,7500
M,12000
M,
O,
O,
M,46200
F,
F,3756
O,
M,76397
M,139154
O,
M,101663
O,
O,11412
M,60000
M,169068
O,
M,52015
O,
O,
M,52872
F,
M,125123
O,
M,4416
M,38893
O,
O,
M,4692
M,
M,1884
M,4128
O,
O,
M,23208
M,1e+05
M,33045
M,12132
M,
M,115000
M,45876
O,
M,
O,52000
M,
M,15600
M,29724
M,41276
O,
F,17628
O,
M,36716
M,2e+05
M,
M,10476
O,
M,
M,
M,42672
M,23614
M,
M,58752
F,38184
M,
M,64620
M,960000
M,3000
O,
M,39768
M,22030
M,120000
M,130000
O,
M,
M,57000
M,
O,
O,
M,
M,14089
F,4332
O,12096
O,85000
M,
O,
M,92000
O,
M,140000
M,
M,
M,
O,
F,
O,22032
M,
M,
M,61194
F,105000
M,
F,75880
O,
F,95462
M,42156
O,
M,
M,4680
M,28988
M,84448
M,6612
M,2400
M,38893
O,
O,
M,37428
M,20172
M,
M,85671
O,
O,
O,38893
M,37000
M,
O,
O,
M,12708
M,9360
M,7200
M,94000
O,
