SkipMeals,ConvertedSalary,
0,,
0,70841,
,,
2,,
0,21426,
1,41671,
1,120000,
3,,
1,250000,
,,
,,
,,
,,
0,,
0,0,
0,,
0,,
0,47904,
2,,
1,,
0,95968,
,,
0,420,
3,75000,
1,10958,
0,51408,
1,72611,
1,900000,
,,
1,,
0,30000,
0,,
0,44000,
1,60000,
1,,
3,80000,
0,,
1,,
,,
3,,
,,
0,123984,
1,21228,
0,74000,
0,,
1,6576,
0,115000,
0,70000,
,,
0,90000,
,,
0,115000,
,,
0,73428,
0,,
2,,
,128507,
3,13212,
0,,
,,
1,,
0,,
2,120000,
0,48955,
0,,
0,19500,
,,
,,
,,
0,,
0,85708,
,,
0,,
0,36000,
,,
0,,
2,64116,
,,
0,,
0,45144,
0,32412,
0,52627,
0,82648,
0,,
0,,
,78000,
3,120000,
2,42456,
,,
,,
0,30000,
0,26436,
,,
1,34440,
,,
0,4128,
0,,
0,,
,,
1,,
0,141625,
0,,
,,
0,71095,
,,
0,35244,
0,4696,
,,
,,
,,
1,,
0,120000,
1,,
1,69452,
0,63896,
,,
0,63628,
1,110000,
1,,
,,
0,28680,
,,
,,
1,9768,
0,21418,
0,916764,
0,30597,
0,59980,
0,228888,
0,,
,,
1,42348,
0,48955,
0,37572,
0,34726,
,,
0,55392,
,,
,,
0,27708,
2,70000,
0,59172,
3,59980,
0,91969,
0,9984,
0,55075,
0,,
1,87971,
,,
3,7512,
0,105000,
0,,
,,
1,105000,
0,,
2,,
,,
0,,
1,36000,
1,120000,
1,61680,
0,42836,
0,29532,
,,
0,64866,
,,
1,77000,
1,36000,
,,
0,97000,
0,,
0,45838,
,,
2,59880,
,,
0,48955,
,,
0,6732,
0,125000,
1,72469,
,,
2,,
0,11808,
,,
0,39648,
3,,
0,,
0,62507,
0,29373,
,,
0,74482,
0,,
,,
0,12960,
0,,
3,73433,
,,
0,1080000,
1,90288,
1,122388,
2,37084,
2,11748,
0,100000,
,,
0,60000,
0,,
,,
,10440,
,,
,,
0,,
0,46992,
0,61580,
0,26612,
0,,
1,18780,
1,,
,,
0,23440,
,42836,
,,
1,3569,
,,
,,
0,,
1,1140000,
1,1879,
,,
,,
0,79552,
,,
0,46963,
,,
0,8140,
0,,
0,81000,
0,440592,
,,
0,20244,
,,
2,,
0,33528,
1,65000,
,21708,
0,58746,
,,
3,52783,
0,32316,
,,
1,,
0,,
0,8496,
1,45895,
2,,
1,60000,
1,9552,
2,4512,
0,38510,
,,
0,105000,
0,47227,
1,20808,
2,,
,,
0,100000,
,29373,
0,,
0,33972,
1,,
0,2000000,
0,74856,
0,44060,
0,140000,
,,
0,7140,
0,,
0,,
0,59500,
0,,
,,
0,,
1,,
0,56172,
0,2820,
0,51394,
,,
0,83342,
,,
,,
1,,
0,,
,,
0,62507,
2,55075,
1,40392,
,,
,,
1,42456,
,,
0,,
0,72500,
0,,
0,65285,
,,
1,,
1,75000,
1,58752,
2,70000,
0,185000,
0,37940,
1,,
0,21916,
0,125000,
0,25000,
,8448,
,,
1,32000,
0,3757,
0,22884,
0,75504,
3,52404,
,,
0,187152,
0,52872,
0,126403,
0,,
1,,
0,,
0,235000,
,,
0,,
0,,
0,,
,,
0,55562,
0,125000,
0,36716,
1,13284,
0,87971,
0,10572,
0,48955,
0,155000,
0,,
,,
,,
,,
1,52339,
1,113000,
2,127000,
0,56544,
2,47000,
0,110000,
,,
2,11741,
1,10000,
1,64000,
0,9840,
1,,
0,90000,
0,43482,
1,63529,
,,
1,140000,
0,96000,
0,14340,
0,48313,
0,42456,
,,
0,,
1,,
0,39776,
1,94600,
1,12480,
0,,
0,,
,,
0,,
0,87768,
0,,
0,62507,
,,
2,22032,
0,30597,
,,
0,59729,
0,,
0,22560,
3,105000,
1,,
,,
0,80000,
,,
1,,
0,36720,
,,
1,31664,
1,1000000,
,19092,
0,54507,
0,34726,
,,
0,106000,
0,63642,
