StackOverflowParticipate,ConvertedSalary
0,
2,70841
,
2,
1,21426
1,41671
0,120000
2,
1,250000
,
,
,
,
4,
1,0
,
0,
1,47904
,
0,
1,95968
2,
1,420
1,75000
1,10958
3,51408
1,72611
1,9e+05
,
1,
2,30000
1,
1,44000
,60000
5,
,80000
4,
,
,
3,
,
1,123984
,21228
1,74000
0,
3,6576
2,115000
,70000
3,
,90000
,
1,115000
,
1,73428
0,
,
,128507
,13212
1,
,
,
0,
1,120000
2,48955
0,
,19500
3,
,
0,
1,
0,85708
,
1,
1,36000
,
0,
0,64116
1,
1,
2,45144
0,32412
1,52627
1,82648
4,
2,
,78000
1,120000
,42456
,
,
3,30000
0,26436
,
4,34440
,
2,4128
1,
0,
,
0,
1,141625
,
,
1,71095
,
2,35244
0,4696
,
,
1,
1,
1,120000
1,
2,69452
3,63896
2,
2,63628
1,110000
,
,
,28680
0,
,
4,9768
0,21418
2,916764
3,30597
,59980
0,228888
1,
,
1,42348
1,48955
1,37572
1,34726
,
2,55392
,
,
3,27708
3,70000
1,59172
2,59980
1,91969
3,9984
5,55075
1,
1,87971
,
4,7512
1,105000
3,
,
2,105000
3,
1,
,
1,
1,36000
2,120000
3,61680
2,42836
1,29532
3,
2,64866
,
,77000
1,36000
,
,97000
,
1,45838
,
2,59880
1,
,48955
,
,6732
,125000
3,72469
,
3,
2,11808
,
1,39648
1,
5,
,62507
2,29373
,
3,74482
3,
3,
3,12960
2,
3,73433
,
1,1080000
0,90288
4,122388
2,37084
0,11748
0,1e+05
2,
5,60000
2,
1,
,10440
,
,
1,
1,46992
1,61580
1,26612
3,
3,18780
1,
,
1,23440
5,42836
,
3,3569
,
,
0,
1,1140000
3,1879
,
,
1,79552
0,
0,46963
,
1,8140
2,
,81000
0,440592
,
1,20244
,
5,
,33528
0,65000
3,21708
4,58746
,
,52783
1,32316
1,
1,
5,
,8496
1,45895
2,
1,60000
,9552
0,4512
2,38510
,
1,105000
1,47227
1,20808
,
,
0,1e+05
,29373
4,
1,33972
3,
1,2e+06
1,74856
2,44060
,140000
,
5,7140
2,
2,
4,59500
1,
,
1,
1,
0,56172
0,2820
4,51394
,
1,83342
,
,
2,
1,
1,
,62507
3,55075
0,40392
,
,
3,42456
,
3,
,72500
3,
2,65285
,
1,
,75000
2,58752
,70000
3,185000
2,37940
5,
2,21916
2,125000
3,25000
,8448
,
,32000
4,3757
2,22884
1,75504
1,52404
,
4,187152
3,52872
2,126403
4,
1,
1,
2,235000
2,
1,
4,
1,
,
2,55562
2,125000
2,36716
4,13284
2,87971
1,10572
2,48955
1,155000
5,
,
,
,
1,52339
0,113000
0,127000
1,56544
1,47000
1,110000
,
1,11741
3,10000
1,64000
0,9840
1,
0,90000
3,43482
2,63529
,
2,140000
0,96000
4,14340
1,48313
2,42456
1,
1,
,
1,39776
3,94600
3,12480
3,
,
,
1,
1,87768
1,
1,62507
,
1,22032
0,30597
,
,59729
0,
1,22560
0,105000
,
3,
,80000
,
0,
3,36720
,
2,31664
1,1e+06
,19092
1,54507
1,34726
,
1,106000
,63642
,86120
0,4745
,
1,2e+06
0,17676
0,
2,52404
1,
0,
0,
,
3,1884
2,
1,587460
1,93840
0,47304
0,85671
,
3,90000
1,91000
,
3,112000
,57170
,
0,120000
2,130000
0,58340
2,78000
2,
1,
1,
1,
1,44064
0,51408
1,
1,30840
1,41612
0,
1,791124
0,
,55000
1,
1,75000
,60391
1,41124
,10958
,
1,
0,
1,
1,70000
0,3900
3,
,
2,5479
2,
,
,
2,96626
,
,
0,12000
1,58000
1,280000
,106956
4,
1,53000
1,90039
,
1,162100
1,68000
,75000
1,684000
5,
,
2,
2,53144
2,
,
1,
4,
,
,22560
2,36720
1,80000
1,0
,
1,51408
,
1,
0,45897
3,14089
1,9000
0,3600
1,12524
4,3914
1,13212
1,69452
,
0,25008
2,
1,96626
1,199950
,
0,34269
1,60216
2,
4,
2,73433
1,40282
4,71976
1,
,
2,
0,63979
1,12524
,14688
1,1872
4,66084
3,
0,2e+06
1,
2,20000
1,
2,40392
,
,
,2e+06
,
3,1500
,36005
0,104030
2,80521
,80000
1,136500
2,171343
,
1,44064
2,99468
1,23496
0,27696
2,48955
,140000
4,9396
,
,
1,
1,140000
,936
1,110000
3,7608
,
1,105000
1,104269
1,11647
,
0,
,
1,46992
0,
1,19092
,
1,55000
,6384
,
,
1,150150
2,9396
,
1,63000
3,
1,127000
0,32400
0,41612
5,7827
3,
1,84731
1,79973
2,
0,
,
2,130000
1,49932
2,21000
,
,
0,26436
,
,
,
1,
1,
,
,
2,32874
,79552
,7512
0,1884
,
0,
1,61194
1,104178
,
2,10584
1,68537
1,85000
,
,49932
1,61118
,
3,175000
,
1,
1,58000
,
1,30000
1,
,30840
1,
2,125000
,
1,
,
3,
1,110149
0,108704
0,44880
2,4476
5,
,2e+05
,
2,140000
0,25400
,
1,142000
,88000
3,
,
1,29940
1,
,
1,17628
,
,
0,
1,107964
3,
,
2,
,
2,
1,2e+06
1,110000
2,84816
4,
2,
3,616836
3,6312
4,
1,48828
1,9012
3,79552
1,
,
0,104269
1,6360
,
,83000
1,72000
0,12312
2,
,53000
1,85000
0,30000
1,18780
2,75000
,
0,52321
1,30732
1,
1,70000
,
2,
1,514032
2,93853
2,79175
,
1,72000
3,1e+06
,
,
0,47922
,
,
,
1,
,
,120000
4,6516
,107000
3,
,
0,110000
2,
3,35988
0,85000
3,4728
0,5640
0,97233
2,96000
0,10932
5,
0,
,
4,60000
2,94000
,
,27120
1,6500
1,
3,
1,125014
0,33399
1,
4,76000
,
,
1,49404
,
0,2172
0,85000
,83342
1,36716
2,44064
0,130000
1,
1,
,
,
,
,
1,47984
0,22032
,48955
2,93036
2,1500
,
,
1,95000
,
0,41124
3,80000
,
1,
