Coding Languague,ConvertedSalary,Label
PHP,44796.0,$44.8K
Delphi/Object Pascal,48855.5,$48.9K
Visual Basic 6,48955.0,$49K
Matlab,51394.0,$51.4K
Assembly,51540.0,$51.5K
C,52704.0,$52.7K
Java,52872.0,$52.9K
VB.NET,53900.0,$53.9K
C++,54916.0,$54.9K
Coding Languague,ConvertedSalary,Label
CSS,55075.0,$55.1K
VBA,55075.0,$55.1K
HTML,55075.0,$55.1K
Cobol,55562.0,$55.6K
JavaScript,56298.0,$56.3K
SQL,57000.0,$57K
Kotlin,57412.0,$57.4K
Swift,57522.0,$57.5K
Objective-C,58746.0,$58.7K
Coding Languague,ConvertedSalary,Label
C#,59980.0,$60K
Lua,60000.0,$60K
Python,60391.0,$60.4K
TypeScript,61194.0,$61.2K
R,62807.0,$62.8K
Bash/Shell,63156.0,$63.2K
Haskell,65000.0,$65K
Hack,65776.0,$65.8K
CoffeeScript,66000.0,$66K
Coding Languague,ConvertedSalary,Label
Perl,69452.0,$69.5K
Ruby,69452.0,$69.5K
Ocaml,70000.0,$70K
Rust,70000.0,$70K
Go,70500.0,$70.5K
Scala,70577.0,$70.6K
Julia,71623.0,$71.6K
Groovy,72497.0,$72.5K
Erlang,73428.0,$73.4K
Clojure,75880.0,$75.9K
F#,76397.0,$76.4K
