SurveyEasy,ConvertedSalary,,
2,,,"{'Somewhat easy':1, 'Very easy':2, 'Neither easy nor difficult':0,
       'Somewhat difficult':-1, 'Very difficult':-2}"
1,70841,,
,,,
1,,,
1,21426,,
1,41671,,
1,120000,,
-1,,,
2,250000,,
,,,
,,,
,,,
,,,
,,,
0,0,,
,,,
,,,
-1,47904,,
-2,,,
,,,
0,95968,,
2,,,
0,420,,
2,75000,,
2,10958,,
2,51408,,
1,72611,,
2,900000,,
,,,
0,,,
1,30000,,
2,,,
2,44000,,
2,60000,,
2,,,
-1,80000,,
1,,,
1,,,
,,,
0,,,
,,,
0,123984,,
,21228,,
1,74000,,
2,,,
2,6576,,
1,115000,,
0,70000,,
1,,,
1,90000,,
,,,
2,115000,,
,,,
0,73428,,
,,,
2,,,
,128507,,
2,13212,,
1,,,
,,,
-1,,,
2,,,
1,120000,,
2,48955,,
0,,,
1,19500,,
,,,
,,,
,,,
-1,,,
1,85708,,
,,,
1,,,
1,36000,,
,,,
,,,
1,64116,,
,,,
-1,,,
1,45144,,
2,32412,,
0,52627,,
2,82648,,
0,,,
2,,,
,78000,,
1,120000,,
,42456,,
,,,
,,,
-1,30000,,
2,26436,,
,,,
1,34440,,
,,,
1,4128,,
0,,,
1,,,
,,,
1,,,
2,141625,,
2,,,
,,,
1,71095,,
,,,
-1,35244,,
0,4696,,
,,,
,,,
,,,
2,,,
2,120000,,
1,,,
0,69452,,
2,63896,,
2,,,
1,63628,,
2,110000,,
-1,,,
,,,
2,28680,,
,,,
,,,
1,9768,,
0,21418,,
2,916764,,
0,30597,,
0,59980,,
-2,228888,,
0,,,
,,,
1,42348,,
0,48955,,
1,37572,,
1,34726,,
,,,
1,55392,,
,,,
,,,
0,27708,,
2,70000,,
2,59172,,
1,59980,,
1,91969,,
1,9984,,
2,55075,,
2,,,
1,87971,,
,,,
1,7512,,
1,105000,,
,,,
,,,
1,105000,,
-1,,,
-1,,,
,,,
,,,
-1,36000,,
1,120000,,
1,61680,,
2,42836,,
2,29532,,
,,,
1,64866,,
,,,
0,77000,,
-1,36000,,
,,,
1,97000,,
1,,,
2,45838,,
,,,
2,59880,,
,,,
0,48955,,
,,,
1,6732,,
1,125000,,
2,72469,,
,,,
1,,,
0,11808,,
,,,
2,39648,,
,,,
0,,,
2,62507,,
2,29373,,
,,,
1,74482,,
0,,,
,,,
0,12960,,
2,,,
2,73433,,
,,,
1,1080000,,
2,90288,,
2,122388,,
2,37084,,
0,11748,,
1,100000,,
2,,,
2,60000,,
,,,
,,,
,10440,,
,,,
,,,
,,,
1,46992,,
2,61580,,
1,26612,,
,,,
0,18780,,
0,,,
,,,
2,23440,,
2,42836,,
,,,
0,3569,,
,,,
,,,
2,,,
1,1140000,,
0,1879,,
,,,
,,,
1,79552,,
,,,
1,46963,,
,,,
0,8140,,
1,,,
2,81000,,
0,440592,,
,,,
0,20244,,
,,,
2,,,
2,33528,,
2,65000,,
1,21708,,
1,58746,,
,,,
1,52783,,
0,32316,,
,,,
2,,,
-2,,,
-1,8496,,
1,45895,,
,,,
1,60000,,
0,9552,,
2,4512,,
2,38510,,
,,,
2,105000,,
0,47227,,
1,20808,,
,,,
,,,
2,100000,,
,29373,,
2,,,
1,33972,,
1,,,
2,2000000,,
2,74856,,
2,44060,,
1,140000,,
,,,
1,7140,,
1,,,
0,,,
1,59500,,
1,,,
,,,
0,,,
0,,,
0,56172,,
2,2820,,
1,51394,,
,,,
2,83342,,
,,,
,,,
2,,,
2,,,
,,,
2,62507,,
0,55075,,
2,40392,,
,,,
,,,
0,42456,,
,,,
2,,,
2,72500,,
0,,,
1,65285,,
,,,
2,,,
,75000,,
2,58752,,
2,70000,,
2,185000,,
2,37940,,
1,,,
2,21916,,
2,125000,,
2,25000,,
,8448,,
,,,
2,32000,,
2,3757,,
1,22884,,
0,75504,,
2,52404,,
,,,
1,187152,,
2,52872,,
0,126403,,
1,,,
2,,,
0,,,
1,235000,,
,,,
1,,,
-1,,,
0,,,
,,,
2,55562,,
2,125000,,
0,36716,,
1,13284,,
1,87971,,
0,10572,,
2,48955,,
1,155000,,
1,,,
,,,
,,,
,,,
1,52339,,
-1,113000,,
1,127000,,
1,56544,,
1,47000,,
2,110000,,
,,,
2,11741,,
1,10000,,
2,64000,,
2,9840,,
1,,,
1,90000,,
1,43482,,
1,63529,,
,,,
2,140000,,
0,96000,,
2,14340,,
1,48313,,
1,42456,,
,,,
,,,
,,,
2,39776,,
1,94600,,
2,12480,,
1,,,
0,,,
,,,
,,,
2,87768,,
,,,
2,62507,,
,,,
2,22032,,
