WakeTime,ConvertedSalary,
8,,
7,70841,
,,
7,,
9,21426,
6,41671,
4,120000,
0,,
5,250000,
,,
,,
,,
,,
7,,
7,0,
8,,
4,,
6,47904,
0,,
6,,
7,95968,
7,,
6,420,
6,75000,
7,10958,
6,51408,
6,72611,
6,900000,
,,
8,,
7,30000,
5,,
8,44000,
5,60000,
7,,
6,80000,
6,,
6,,
,,
9,,
,,
7,123984,
6,21228,
6,74000,
6,,
8,6576,
7,115000,
9,70000,
4,,
0,90000,
,,
7,115000,
,,
7,73428,
6,,
8,,
,128507,
8,13212,
6,,
,,
6,,
6,,
8,120000,
8,48955,
7,,
5,19500,
,,
,,
,,
6,,
5,85708,
,,
6,,
6,36000,
,,
9,,
5,64116,
,,
7,,
6,45144,
5,32412,
7,52627,
8,82648,
7,,
6,,
,78000,
4,120000,
4,42456,
,,
,,
7,30000,
6,26436,
,,
5,34440,
,,
6,4128,
6,,
7,,
,,
5,,
7,141625,
7,,
,,
7,71095,
,,
6,35244,
7,4696,
,,
,,
,,
6,,
6,120000,
7,,
6,69452,
6,63896,
7,,
7,63628,
6,110000,
3,,
,,
9,28680,
,,
,,
5,9768,
6,21418,
7,916764,
6,30597,
6,59980,
6,228888,
8,,
,,
8,42348,
6,48955,
8,37572,
4,34726,
,,
7,55392,
,,
,,
6,27708,
7,70000,
7,59172,
8,59980,
7,91969,
7,9984,
5,55075,
7,,
6,87971,
,,
5,7512,
7,105000,
5,,
,,
4,105000,
7,,
5,,
,,
5,,
5,36000,
8,120000,
6,61680,
6,42836,
6,29532,
,,
6,64866,
,,
8,77000,
6,36000,
,,
4,97000,
7,,
6,45838,
,,
6,59880,
,,
7,48955,
,,
7,6732,
7,125000,
6,72469,
,,
6,,
6,11808,
,,
7,39648,
7,,
7,,
5,62507,
6,29373,
,,
7,74482,
0,,
,,
7,12960,
6,,
5,73433,
,,
7,1080000,
6,90288,
6,122388,
7,37084,
4,11748,
9,100000,
,,
6,60000,
7,,
,,
,10440,
,,
,,
6,,
0,46992,
6,61580,
7,26612,
5,,
6,18780,
5,,
,,
7,23440,
7,42836,
,,
8,3569,
,,
,,
7,,
7,1140000,
4,1879,
,,
,,
6,79552,
,,
7,46963,
,,
6,8140,
6,,
6,81000,
7,440592,
,,
7,20244,
,,
6,,
8,33528,
6,65000,
5,21708,
4,58746,
,,
6,52783,
7,32316,
,,
6,,
6,,
3,8496,
6,45895,
7,,
5,60000,
0,9552,
5,4512,
7,38510,
,,
8,105000,
5,47227,
4,20808,
6,,
,,
7,100000,
,29373,
6,,
8,33972,
2,,
6,2000000,
7,74856,
6,44060,
6,140000,
,,
5,7140,
5,,
6,,
7,59500,
3,,
,,
8,,
9,,
6,56172,
7,2820,
7,51394,
,,
7,83342,
,,
,,
6,,
7,,
,,
7,62507,
0,55075,
6,40392,
,,
,,
5,42456,
,,
8,,
5,72500,
1,,
7,65285,
,,
6,,
,75000,
6,58752,
9,70000,
6,185000,
6,37940,
6,,
8,21916,
4,125000,
6,25000,
,8448,
,,
5,32000,
7,3757,
6,22884,
8,75504,
7,52404,
,,
7,187152,
6,52872,
6,126403,
0,,
5,,
5,,
9,235000,
,,
6,,
5,,
6,,
,,
6,55562,
6,125000,
6,36716,
6,13284,
6,87971,
6,10572,
5,48955,
9,155000,
6,,
,,
,,
,,
6,52339,
7,113000,
3,127000,
9,56544,
8,47000,
8,110000,
,,
5,11741,
0,10000,
6,64000,
7,9840,
6,,
6,90000,
8,43482,
4,63529,
,,
0,140000,
8,96000,
8,14340,
6,48313,
4,42456,
,,
8,,
6,,
7,39776,
7,94600,
4,12480,
4,,
7,,
,,
6,,
5,87768,
6,,
5,62507,
,,
0,22032,
6,30597,
,,
5,59729,
7,,
4,22560,
5,105000,
7,,
,,
7,80000,
,,
4,,
6,36720,
,,
3,31664,
8,1000000,
,19092,
6,54507,
7,34726,
,,
6,106000,
6,63642,
6,86120,
7,4745,
,,
6,2000000,
6,17676,
4,,
6,52404,
7,,
,,
8,,
,,
7,1884,
6,,
7,587460,
8,93840,
8,47304,
7,85671,
,,
8,90000,
6,91000,
,,
7,112000,
7,57170,
,,
8,120000,
7,130000,
6,58340,
7,78000,
8,,
0,,
,,
6,,
6,44064,
8,51408,
7,,
5,30840,
7,41612,
,,
8,791124,
6,,
,55000,
7,,
4,75000,
6,60391,
9,41124,
,10958,
,,
8,,
7,,
4,,
8,70000,
7,3900,
,,
,,
0,5479,
7,,
,,
3,,
8,96626,
,,
,,
5,12000,
7,58000,
4,280000,
,106956,
6,,
8,53000,
7,90039,
,,
4,162100,
7,68000,
8,75000,
6,684000,
6,,
,,
8,,
6,53144,
4,,
,,
0,,
0,,
,,
,22560,
5,36720,
7,80000,
6,0,
5,,
6,51408,
,,
5,,
8,45897,
7,14089,
2,9000,
8,3600,
6,12524,
7,3914,
5,13212,
6,69452,
,,
7,25008,
4,,
4,96626,
8,199950,
,,
6,34269,
7,60216,
,,
6,,
5,73433,
7,40282,
8,71976,
6,,
,,
8,,
7,63979,
6,12524,
8,14688,
7,1872,
5,66084,
,,
6,2000000,
7,,
6,20000,
5,,
8,40392,
,,
7,,
7,2000000,
,,
6,1500,
,36005,
8,104030,
8,80521,
6,80000,
6,136500,
7,171343,
,,
9,44064,
7,99468,
5,23496,
5,27696,
8,48955,
7,140000,
,9396,
,,
,,
6,,
7,140000,
7,936,
7,110000,
6,7608,
,,
8,105000,
7,104269,
6,11647,
,,
,,
8,,
7,46992,
3,,
7,19092,
6,,
7,55000,
,6384,
,,
,,
7,150150,
6,9396,
,,
8,63000,
8,,
6,127000,
5,32400,
7,41612,
3,7827,
,,
6,84731,
7,79973,
4,,
7,,
,,
9,130000,
7,49932,
5,21000,
,,
5,,
6,26436,
,,
,,
,,
6,,
8,,
,,
,,
5,32874,
,79552,
,7512,
7,1884,
,,
,,
6,61194,
7,104178,
4,,
7,10584,
6,68537,
6,85000,
7,,
8,49932,
6,61118,
,,
5,175000,
,,
2,,
6,58000,
,,
7,30000,
6,,
8,30840,
8,,
7,125000,
,,
,,
6,,
6,,
7,110149,
7,108704,
5,44880,
7,4476,
2,,
8,200000,
,,
8,140000,
5,25400,
,,
5,142000,
7,88000,
6,,
,,
6,29940,
7,,
,,
4,17628,
,,
,,
6,,
7,107964,
,,
5,,
4,,
,,
6,,
5,2000000,
6,110000,
8,84816,
5,,
8,,
5,616836,
6,6312,
6,,
3,48828,
0,9012,
4,79552,
,,
,,
6,104269,
7,6360,
,,
6,83000,
6,72000,
6,12312,
0,,
6,53000,
6,85000,
6,30000,
7,18780,
7,75000,
,,
6,52321,
7,30732,
,,
6,70000,
,,
7,,
8,514032,
6,93853,
7,79175,
,,
5,72000,
6,1000000,
4,,
,,
5,47922,
,,
,,
,,
6,,
,,
7,120000,
6,6516,
5,107000,
7,,
6,,
6,110000,
6,,
8,35988,
6,85000,
7,4728,
0,5640,
6,97233,
7,96000,
7,10932,
7,,
7,,
,,
5,60000,
5,94000,
,,
0,27120,
0,6500,
0,,
6,,
4,125014,
6,33399,
7,,
7,76000,
8,,
,,
6,49404,
,,
6,2172,
6,85000,
7,83342,
6,36716,
6,44064,
8,130000,
0,,
8,,
,,
,,
,,
8,,
6,47984,
7,22032,
4,48955,
5,93036,
6,1500,
,,
6,,
8,95000,
,,
7,41124,
6,80000,
,,
6,,
7,,
,,
4,5448,
6,50400,
,,
7,,
,,
6,1512,
7,,
6,130000,
3,141000,
6,24478,
6,,
6,,
7,22030,
6,35244,
5,55075,
4,101539,
0,40000,
8,102000,
8,34726,
5,55562,
6,99056,
,,
6,,
,,
7,,
7,75000,
7,42836,
,,
7,,
7,70841,
6,,
,,
6,9396,
7,,
7,39164,
7,31212,
5,130000,
6,41916,
5,,
4,,
7,87000,
,,
,,
5,300000,
6,2820,
7,,
6,1000000,
5,,
7,,
,,
,,
,,
5,,
5,14652,
,,
,,
8,,
5,56352,
8,7860,
5,150000,
5,132000,
7,,
6,,
6,107000,
6,40388,
5,,
,,
,,
8,115000,
,34269,
10,,
,,
6,110149,
5,9540,
8,1000000,
7,8640,
,,
,,
7,83342,
5,6612,
5,12000,
8,102000,
,,
,,
7,122300,
7,,
,,
,,
8,68500,
6,36720,
0,75000,
7,,
6,,
5,,
6,75008,
4,42348,
8,58134,
7,,
4,34440,
7,14436,
9,21228,
6,15984,
3,94000,
8,,
5,120000,
7,31760,
6,5424,
7,170000,
7,63979,
2,7500,
4,12000,
8,,
4,,
8,,
6,46200,
9,,
7,3756,
,,
5,76397,
6,139154,
,,
7,101663,
,,
,11412,
6,60000,
7,169068,
,,
6,52015,
,,
,,
6,52872,
7,,
6,125123,
8,,
6,4416,
7,38893,
,,
,,
5,4692,
5,,
7,1884,
7,4128,
,,
,,
5,23208,
6,100000,
7,33045,
6,12132,
7,,
6,115000,
6,45876,
6,,
6,,
6,52000,
9,,
6,15600,
6,29724,
7,41276,
,,
5,17628,
,,
7,36716,
6,200000,
8,,
7,10476,
7,,
7,,
6,,
9,42672,
6,23614,
6,,
7,58752,
7,38184,
8,,
8,64620,
8,960000,
7,3000,
8,,
0,39768,
6,22030,
5,120000,
8,130000,
6,,
7,,
6,57000,
9,,
,,
,,
6,,
7,14089,
9,4332,
,12096,
8,85000,
6,,
4,,
6,92000,
,,
8,140000,
5,,
7,,
7,,
7,,
6,,
,22032,
8,,
5,,
7,61194,
5,105000,
6,,
6,75880,
,,
5,95462,
8,42156,
6,,
5,,
4,4680,
6,28988,
7,84448,
7,6612,
4,2400,
8,38893,
,,
,,
7,37428,
5,20172,
7,,
7,85671,
,,
,,
6,38893,
7,37000,
6,,
,,
6,,
5,12708,
6,9360,
0,7200,
6,94000,
0,,
,,
5,,
7,89343,
,,
,,
7,,
7,13848,
,,
,,
7,48616,
8,55075,
6,,
8,140800,
7,41157,
9,82000,
6,69000,
7,95000,
7,78000,
6,69452,
6,45838,
6,4884,
7,90000,
0,,
,,
6,,
5,130000,
,,
6,,
7,10920,
7,,
5,,
,,
6,,
6,15922,
,,
4,,
8,85572,
,,
,,
6,65000,
5,37152,
6,17628,
0,,
8,95000,
6,59172,
6,112000,
8,29200,
6,,
7,15000,
6,,
,,
5,110000,
7,500052,
,,
7,,
7,,
6,,
7,28958,
,,
6,23172,
7,,
7,10000,
,,
7,43500,
4,20857,
8,36468,
7,65000,
7,,
7,51403,
,,
,13306,
8,67368,
7,97233,
,,
6,,
,,
6,1884,
9,,
7,76397,
5,,
6,,
7,154000,
5,73433,
7,,
6,,
7,60000,
7,88000,
2,,
7,1056,
8,,
6,240000,
7,160000,
2,,
7,143000,
7,69452,
5,60000,
4,,
4,,
,,
6,,
6,,
5,130000,
9,130000,
8,,
,,
8,,
7,68820,
5,20000,
7,26925,
,,
7,70000,
5,,
8,120000,
3,24000,
4,,
,,
4,49200,
4,3914,
6,,
,,
6,54792,
8,,
5,41671,
6,24540,
9,,
6,84816,
7,,
6,11040,
7,45019,
8,81576,
7,60000,
8,64000,
8,47472,
5,28182,
,,
6,,
6,4884,
7,32676,
8,,
,,
5,74000,
,,
6,,
,,
6,14688,
,,
,,
,,
7,46260,
,,
,,
7,76512,
7,27612,
7,,
5,27550,
6,,
8,,
7,72469,
8,63642,
6,,
6,281784,
6,68000,
5,1050000,
7,40000,
7,,
,87000,
4,59880,
7,,
,,
6,115961,
6,783,
5,,
6,,
,,
6,90000,
5,,
8,,
9,2916,
9,54000,
4,,
6,51403,
7,71460,
4,13152,
7,3000,
,,
8,135000,
4,38184,
5,122000,
,,
7,61194,
,,
6,15852,
7,,
7,120782,
6,3252,
6,14436,
7,51695,
6,,
8,102000,
8,723876,
5,7152,
,59684,
8,,
6,16200,
0,,
3,,
,,
6,,
,,
6,4692,
,,
6,40000,
,,
6,139000,
,,
,,
8,88238,
7,130000,
6,,
5,95000,
,,
6,,
,,
8,63156,
6,,
5,8496,
4,140000,
7,49311,
6,9393,
5,,
7,,
7,80000,
5,75000,
7,93000,
6,16152,
5,22032,
6,71000,
7,,
,,
7,67238,
5,187848,
7,,
6,160000,
,,
7,,
,,
,,
5,63192,
7,61194,
6,110000,
7,28000,
,,
5,,
,,
,,
,,
8,80286,
6,68000,
9,154000,
8,62418,
6,,
6,,
6,72000,
5,65000,
4,37200,
8,79973,
7,,
7,73428,
6,56298,
5,17628,
6,125000,
6,110149,
7,,
5,,
7,,
8,75000,
8,,
7,6576,
7,,
7,60000,
8,80000,
6,90000,
6,70000,
8,39648,
8,99967,
,2352,
6,50448,
,,
,,
6,,
,,
7,55562,
6,,
7,30000,
6,,
4,58746,
7,55000,
7,,
,1000000,
4,,
7,19068,
,,
8,48468,
,,
6,,
6,4692,
6,110000,
,,
5,,
7,,
5,,
,,
,,
5,120000,
6,56365,
5,50000,
9,,
5,48955,
7,65000,
6,100000,
7,,
6,,
,,
7,2000000,
7,1000000,
7,,
6,1000000,
5,,
0,71597,
8,25830,
,,
7,,
8,13200,
,,
7,,
6,195820,
0,,
7,6108,
7,150000,
5,58746,
,14688,
6,,
,,
6,26148,
7,7860,
,,
,,
6,,
5,,
5,130000,
,120000,
8,61680,
7,14688,
6,,
0,,
5,43060,
,,
6,,
,,
7,,
7,11652,
,,
8,,
5,16817,
8,105000,
,,
6,,
6,,
7,72380,
,,
,,
,69223,
,,
7,59916,
7,50000,
6,,
,,
6,64417,
6,,
7,2256,
,,
5,60000,
7,21696,
7,50904,
5,15924,
,,
6,122359,
6,,
9,130000,
,,
,,
7,60000,
6,41671,
7,79973,
6,10620,
6,22452,
,,
4,,
8,,
8,145000,
5,,
,,
9,110000,
6,47736,
,,
6,66708,
,,
7,29373,
,,
7,61194,
5,,
7,96000,
8,79899,
6,8496,
5,19318,
